type,x,y
2,17.948925776,3.092434739
3,9.083802168,19.437746142
1,15.456087669,15.017608078
1,4.682084519,8.738459016
3,16.768316839,8.143610979
1,10.940355079,3.129829186
2,11.242760879,1.576609897
1,7.594227126,14.473869568
1,6.628996425,8.061789177
1,12.589440032,5.648888823
1,16.569960945,19.331219515
1,1.707241193,1.02762721
2,9.22646052,3.941060673
2,13.290435401,7.277501418
1,11.707462741,4.403142129
1,18.622042773,2.718285624
2,2.679531093,16.057906392
1,3.706001242,15.958652558
3,10.351280926,16.31587171
1,13.54085291,3.637206005
1,12.968333601,19.354548164
1,19.168263962,14.838227907
3,7.752004282,8.012260968
3,16.527982191,12.095845414
2,8.115767296,13.302861615
3,6.544562887,2.823316529
1,6.052573438,5.438967547
2,12.295358629,18.224257719
2,18.476698667,12.44937043
2,3.906704089,2.415510843
1,8.702568502,3.228029391
2,16.060968583,8.002453975
1,19.646153023,19.704976739
1,14.768974357,3.436731434
3,8.659435021,3.242471346
1,5.081685416,15.779029773
1,6.27985086,18.2424299
2,9.552948389,13.986307015
2,1.517679448,4.86790747
1,10.354262211,2.169017454
3,7.292690998,7.665143372
1,10.655378896,1.821080618
1,13.796018748,19.553410287
2,18.726364636,11.54117844
1,17.336746979,15.765890986
2,12.707441209,17.923854383
3,16.85382575,12.939485914
1,15.755887781,7.096660229
3,7.700816743,9.059120612
2,1.200567362,15.778596594
2,19.661207568,3.848165178
3,9.463062703,4.898089332
3,19.450819229,6.663213715
3,1.988504203,19.236315922
2,6.975123006,10.885289078
3,10.689228056,15.783944003
1,14.865891198,12.626802627
2,10.349644269,18.067190248
1,14.215411852,19.835391652
3,18.927184145,1.144912692
3,11.652017232,9.340312986
2,11.4884888,10.719378485
3,7.561381281,8.318788579
3,8.571434317,16.464814254
1,18.469551956,17.099338454
1,17.940164074,10.819683407
2,4.492323571,17.758475604
3,15.805087304,19.513514882
1,14.863978161,3.791871134
2,18.077503944,2.679378024
1,8.936552893,17.286650498
1,5.306841259,3.669769108
2,6.112583783,4.798978822
3,14.591908977,15.299451239
3,4.093619256,11.567305492
3,5.707843037,13.741703581
3,8.40381032,9.989492334
1,10.12354759,11.008594716
2,7.409006295,16.352483151
1,4.637041248,13.730258976
3,18.436560263,9.02468342
1,7.58903504,19.447476157
1,9.625173526,1.519858191
2,17.447442306,18.605834211
3,8.579597612,5.05137003
2,10.446950276,18.879316213
2,16.87357403,8.603209911
2,8.95998121,5.442722775
1,11.321911561,12.278433778
1,10.780831695,12.323028249
1,8.804462274,18.766767524
2,3.588744397,17.290843162
3,5.648493482,17.432989621
3,15.370749629,5.725957328
2,11.916161851,3.313983949
1,1.046705309,19.197227725
2,16.753406214,17.202791107
3,18.10949552,13.340669783
2,2.54213534,6.614648945
2,2.605916638,11.164657139
